aX,aY,aZ,gX,gY,gZ
0.101,-0.372,0.918,3.418,2.625,1.953
0.098,-0.365,0.906,2.747,0.549,1.465
0.101,-0.361,0.906,1.099,1.648,0.732
0.096,-0.368,0.916,0.977,2.869,0.366
0.091,-0.369,0.915,3.784,3.784,0.549
0.091,-0.368,0.901,4.395,4.578,0.732
0.095,-0.369,0.896,4.089,5.188,0.977
0.1,-0.365,0.894,2.319,3.54,0.427
0.097,-0.367,0.9,0.549,2.319,-0.244
0.093,-0.373,0.911,-1.831,3.296,-1.099
0.095,-0.384,0.931,-0.916,4.456,-1.343
0.097,-0.389,0.935,1.892,5.432,-1.343
0.094,-0.391,0.941,2.869,5.066,-0.977
0.092,-0.387,0.943,4.883,0.61,-0.366
0.088,-0.392,0.941,5.798,-2.502,-0.305
0.091,-0.393,0.938,6.287,-2.625,0.671
0.101,-0.387,0.928,4.944,-1.038,0.916
0.1,-0.386,0.923,2.014,-0.61,0.488
0.091,-0.391,0.919,1.953,-1.465,0.427
0.089,-0.39,0.92,2.563,-2.136,1.038
0.089,-0.385,0.913,4.761,-3.906,2.075
0.09,-0.379,0.9,4.517,-4.639,1.831
0.089,-0.38,0.899,2.93,-3.967,1.831
0.092,-0.381,0.901,2.258,-2.441,1.892
0.094,-0.383,0.906,2.258,0.244,1.709
0.099,-0.383,0.904,2.808,0.793,1.221
0.098,-0.386,0.899,2.197,0.916,-0.244
0.098,-0.391,0.903,1.038,1.16,0.122
0.101,-0.392,0.908,-1.038,-0.122,0.977
0,-0.552,2.063,180.298,-60.242,5.249
-0.021,-0.576,2.052,258.545,-49.194,12.268
-0.081,-0.631,1.856,283.386,-33.691,22.034
-0.077,-0.638,1.742,305.359,-3.357,45.471
-0.028,-0.602,1.504,313.721,5.493,52.246
-0.017,-0.579,1.414,332.947,5.493,59.509
-0.01,-0.482,1.256,345.886,5.31,63.477
0.005,-0.419,1.132,357.849,12.39,68.42
0.027,-0.353,0.981,353.271,40.222,75.134
0.071,-0.26,0.73,335.083,55.359,73.73
0.082,-0.251,0.673,308.594,64.087,65.674
0.104,-0.214,0.543,310.608,51.88,60.181
0.106,-0.173,0.426,319.092,31.677,49.988
0.091,-0.155,0.187,311.279,38.635,49.011
0.078,-0.175,0.096,291.687,56.763,50.476
0.086,-0.209,-0.08,288.513,55.603,49.438
0.105,-0.233,-0.198,285.522,51.941,47.058
0.126,-0.257,-0.308,263.855,50.598,39.124
0.184,-0.302,-0.51,250.488,48.767,32.41
0.214,-0.308,-0.615,229.553,30.029,12.573
0.256,-0.27,-0.813,225.098,14.404,3.357
0.239,-0.205,-0.958,214.661,13.123,8.423
0.092,-0.05,-1.451,191.772,45.593,28.198
0.038,0.012,-1.665,100.525,125.244,84.412
0.166,0.126,-1.795,55.969,128.54,93.994
0.254,0.109,-1.742,20.63,98.938,77.698
0.284,0.014,-1.596,-45.105,5.798,1.404
0.187,-0.315,-1.105,-78.674,-25.33,-29.541
0.129,-0.478,-0.838,-124.451,-37.537,-47.363
0.102,-0.713,-0.471,-131.287,-29.785,-41.321
0.107,-0.774,-0.4,-123.413,-8.972,-22.949
0.119,-0.803,-0.436,-116.882,1.587,-13.367
0.133,-0.781,-0.483,-118.469,20.752,2.258
0.183,-0.73,-0.526,-127.502,26.794,5.859
0.209,-0.719,-0.506,-150.33,25.269,3.906
0.233,-0.726,-0.393,-157.654,18.555,0.854
0.234,-0.729,-0.335,-160.156,10.925,-2.136
0.226,-0.729,-0.296,-153.564,-2.869,-6.104
0.224,-0.717,-0.261,-149.963,-8.24,-6.897
0.229,-0.706,-0.253,-155.518,-10.437,-8.484
0.243,-0.688,-0.212,-167.847,-4.333,-9.338
0.248,-0.688,-0.148,-199.646,9.766,-10.498
0.238,-0.72,0.043,-206.909,9.827,-11.78
0.222,-0.738,0.118,-197.937,-4.944,-14.099
0.205,-0.767,0.229,-190.247,-17.517,-15.625
0.197,-0.771,0.258,-177.795,-38.147,-21.851
0.159,-0.773,0.273,-181.335,-33.63,-23.01
0.14,-0.776,0.315,-206.36,0.61,-14.893
0.145,-0.79,0.457,-209.229,17.395,-8.789
0.161,-0.795,0.526,-188.416,24.841,9.521
0.206,-0.77,0.566,-172.18,14.709,14.893
0.225,-0.735,0.553,-155.945,-19.958,6.226
0.21,-0.693,0.56,-159.607,-29.785,-5.066
0.192,-0.688,0.591,-169.556,-28.137,-13.184
0.165,-0.708,0.733,-189.819,0.854,-13.55
0.15,-0.713,0.81,-188.171,16.418,-6.958
0.151,-0.702,0.837,-157.654,27.466,10.559
0.22,-0.625,0.819,-146.362,19.348,14.648
0.231,-0.593,0.801,-139.954,-9.766,0.671
0.209,-0.59,0.804,-144.47,-20.081,-4.822
0.17,-0.591,0.839,-156.311,-31.86,5.005
0.143,-0.566,0.898,-143.982,-33.142,-2.197
