aX,aY,aZ,gX,gY,gZ
0.974,0.029,0.2,6.409,-12.268,-5.981
0.977,0.033,0.227,14.404,-13.123,-6.836
0.976,0.051,0.24,17.151,-8.301,-4.822
0.974,0.065,0.229,19.104,1.831,-0.244
0.973,0.086,0.2,17.944,3.906,0.61
0.977,0.084,0.197,8.85,2.93,0.122
0.982,0.049,0.191,1.648,0.854,-0.671
0.979,0.032,0.191,-3.357,-2.319,-1.587
0.977,0.025,0.205,-2.808,-8.972,-4.028
0.981,0.02,0.249,-1.404,-9.094,-5.127
0.982,0.011,0.259,-2.502,-3.723,-3.357
0.982,0.014,0.248,-2.686,-1.099,-1.099
0.985,0.023,0.244,-2.747,-0.427,0.916
0.997,0.029,0.248,-2.93,-1.465,0.183
0.998,0.028,0.252,-1.526,-2.136,-1.831
0.99,0.025,0.254,-0.305,-0.854,-2.502
0.982,0.026,0.241,1.038,2.197,-2.502
0.976,0.024,0.229,0.305,2.93,-1.648
0.974,0.026,0.226,-2.38,5.31,1.526
0.965,0.035,0.2,-3.113,6.47,2.319
0.963,0.036,0.188,-2.808,6.348,2.136
0.963,0.04,0.184,-0.061,2.93,1.099
0.964,0.05,0.184,0.732,0.854,0.671
0.964,0.049,0.196,0.305,-2.319,-0.183
0.976,0.043,0.224,-0.366,-2.625,0.122
0.981,0.043,0.226,-1.953,0.305,1.831
0.986,0.043,0.213,-2.625,1.892,2.197
0.987,0.041,0.207,-2.014,1.892,1.77
0.99,0.042,0.201,-0.732,0.549,0.977
0.99,0.045,0.202,0.854,-0.916,-0.122
0.988,0.047,0.204,3.54,-2.563,-1.465
0.987,0.043,0.224,2.991,-1.892,-0.793
0.987,0.039,0.231,-1.221,2.747,3.235
0.988,0.043,0.22,-1.526,5.31,4.639
0.989,0.051,0.213,1.282,6.531,2.808
0.992,0.047,0.207,2.075,5.676,0.61
0.99,0.035,0.201,0.793,2.93,-1.038
0.981,0.021,0.196,-0.244,0.916,-0.366
